"term","estimate","lower95","upper95","num_boots","park","resp"
"c1_response",22.5574631882848,18.8052959209615,26.1574728507525,1000,"GETT","Tree_BA_NatCan"
"c2_response",21.8344540328896,18.3021839394298,25.43366860405,1000,"GETT","Tree_BA_NatCan"
"c3_response",21.1114448774944,17.3162549107155,24.9495563712138,1000,"GETT","Tree_BA_NatCan"
"Intercept",0.292410322287156,0.1327860201551,0.486832548231192,1000,"GETT","Tree_BA_NatOth"
"Slope",0.0428992314150444,-0.0060170261087181,0.10619222967301,1000,"GETT","Tree_BA_NatOth"
"c1_response",0.3353095537022,0.164240258159949,0.543122506212732,1000,"GETT","Tree_BA_NatOth"
"c2_response",0.378208785117245,0.180647116531347,0.604340627708793,1000,"GETT","Tree_BA_NatOth"
"c3_response",0.421108016532289,0.189769886426765,0.68871621147174,1000,"GETT","Tree_BA_NatOth"
"Intercept",23.7769550902767,19.8119413896301,28.3162960505345,1000,"GETT","Tree_BA_Total"
"Slope",-0.653800124762837,-1.90891878248103,0.470253434513946,1000,"GETT","Tree_BA_Total"
"c1_response",23.1231549655138,19.7161898902755,26.9856395064091,1000,"GETT","Tree_BA_Total"
"c2_response",22.469354840751,19.3267892424574,26.1884327101001,1000,"GETT","Tree_BA_Total"
"c3_response",21.8155547159881,18.3205034272976,25.7153365831749,1000,"GETT","Tree_BA_Total"
"Intercept",9.87475079002095,NA,NA,NA,"GETT","Tree_Dens_Exotic"
"Slope",-0.38863760686375,NA,NA,NA,"GETT","Tree_Dens_Exotic"
"c1_response",9.4861131831572,NA,NA,NA,"GETT","Tree_Dens_Exotic"
"c2_response",9.09747557629345,NA,NA,NA,"GETT","Tree_Dens_Exotic"
"c3_response",8.7088379694297,NA,NA,NA,"GETT","Tree_Dens_Exotic"
"Intercept",284.86153381253,235.100779367924,338.141303525268,1000,"GETT","Tree_Dens_NatCan"
"Slope",-5.78140851303297,-15.85517677099,4.16666666666666,1000,"GETT","Tree_Dens_NatCan"
"c1_response",279.080125299497,233.01577214938,324.870936875036,1000,"GETT","Tree_Dens_NatCan"
"c2_response",273.298716786464,229.520202020208,315.338857485747,1000,"GETT","Tree_Dens_NatCan"
"c3_response",267.517308273431,224.683036437953,309.224297101441,1000,"GETT","Tree_Dens_NatCan"
"Intercept",19.4264327004731,8.55048979589821,32.1030043440872,1000,"GETT","Tree_Dens_NatOth"
"Slope",1.52190591914076,-2.27272727272727,6.43939393939394,1000,"GETT","Tree_Dens_NatOth"
"c1_response",20.9483386196138,10.9204212031995,32.8314393939399,1000,"GETT","Tree_Dens_NatOth"
"c2_response",22.4702445387546,11.6161616161617,34.8338994803335,1000,"GETT","Tree_Dens_NatOth"
"c3_response",23.9921504578954,11.2125396127382,37.895550259834,1000,"GETT","Tree_Dens_NatOth"
"Intercept",314.128270769629,266.915305534313,367.527436932514,1000,"GETT","Tree_Dens_Total"
"Slope",-4.63522275073566,-15.1515151515152,5.30395412764295,1000,"GETT","Tree_Dens_Total"
"c1_response",309.493048018894,267.275883838389,356.535930712942,1000,"GETT","Tree_Dens_Total"
"c2_response",304.857825268158,263.944413960538,348.67814805892,1000,"GETT","Tree_Dens_Total"
"c3_response",300.222602517422,258.609083392036,341.542089414107,1000,"GETT","Tree_Dens_Total"
