"Unit_Code","Plot_Name","Sample_Year","Date","Cycle","CWD_Vol","Tag","Latin_Name","Decay_Class","Density"
"SARA","SARA-030",2016,20160601,3,29.4319888701759,NA,"Unknown Hardwood",3,NA
"SARA","SARA-030",2016,20160601,3,2.82484367941284,NA,"Ulmus americana",2,NA
"ACAD","ACAD-081",2012,20120627,2,3.32459292425388,NA,"Populus grandidentata",3,NA
"WEFA","WEFA-004",2019,20190612,4,5.09965796412992,NA,"Betula lenta",3,NA
"SARA","SARA-012",2014,20140528,3,12.7422664971043,NA,"Ulmus",3,NA
"MORR","MORR-017",2013,20130528,2,42.4944975043386,NA,"Robinia pseudoacacia",3,NA
"MORR","MORR-017",2013,20130528,2,38.9193927621703,NA,"Robinia pseudoacacia",2,NA
"ROVA","ROVA-008",2015,20150608,3,51.0535364613974,NA,"Tsuga canadensis",3,NA
"ROVA","ROVA-014",2011,20110601,2,23.0840516900386,NA,"Unknown Hardwood",4,NA
"ROVA","ROVA-014",2011,20110601,2,2.74483373246595,NA,"Ulmus rubra",3,NA
"ROVA","ROVA-008",2007,20070625,1,2.83826842958843,NA,"Unknown Hardwood",4,NA
"ROVA","ROVA-008",2007,20070625,1,60.7923223681101,NA,"Unknown Hardwood",2,NA
"WEFA","WEFA-006",2013,20130618,2,4.18643481420613,NA,"Quercus rubra",1,NA
"MORR","MORR-001",2015,20150529,3,13.5220972398367,NA,"Liriodendron tulipifera",3,NA
"ROVA","ROVA-001",2007,20070620,1,18.6721028429524,NA,"Tsuga canadensis",3,NA
"ROVA","ROVA-016",2015,20150604,3,2.74166117213689,NA,"Unknown Hardwood",2,NA
"ROVA","ROVA-016",2015,20150604,3,4.30970899190224,NA,"Unknown Conifer",3,NA
"ROVA","ROVA-016",2015,20150604,3,42.3335423300481,NA,"Pinus resinosa",4,NA
"ROVA","ROVA-016",2015,20150604,3,11.9775432302947,NA,"Unknown Conifer",4,NA
"ROVA","ROVA-016",2015,20150604,3,122.150584878849,NA,"Pinus resinosa",3,NA
"ROVA","ROVA-016",2015,20150604,3,8.88350988993361,NA,"Pinus resinosa",2,NA
"MORR","MORR-003",2015,20150526,3,13.9555813237198,NA,"Unknown Hardwood",3,NA
"MORR","MORR-003",2015,20150526,3,3.9718278069371,NA,"Unknown Hardwood",4,NA
"SAGA","SAGA-007",2014,20140612,3,5.37672664163333,NA,"Betula alleghaniensis",3,NA
"SAGA","SAGA-007",2014,20140612,3,6.25136637611313,NA,"Fagus grandifolia",2,NA
"ACAD","ACAD-062",2015,20150625,3,2.80596612052095,NA,"Betula papyrifera",5,NA
"ACAD","ACAD-062",2015,20150625,3,2.7919267267736,NA,"Acer pensylvanicum",4,NA
"ACAD","ACAD-062",2015,20150625,3,4.02037448655398,NA,"Betula populifolia",5,NA
"ACAD","ACAD-159",2013,20130711,2,25.6942344474375,NA,"Populus grandidentata",2,NA
"ACAD","ACAD-159",2013,20130711,2,4.46307442237094,NA,"Unknown Hardwood",2,NA
"ACAD","ACAD-159",2013,20130711,2,3.97338324136346,NA,"Unknown Hardwood",3,NA
"ACAD","ACAD-159",2013,20130711,2,36.419793615165,NA,"Populus grandidentata",3,NA
"ACAD","ACAD-058",2007,20070725,1,33.7690609808529,NA,"Unknown Conifer",3,NA
"ACAD","ACAD-058",2007,20070725,1,2.7566580392533,NA,"Pinus strobus",4,NA
"SAGA","SAGA-011",2016,20160613,3,4.15165099399561,NA,"Unknown Conifer",3,NA
"SAGA","SAGA-011",2016,20160613,3,11.3425339635151,NA,"Unknown Conifer",4,NA
"ACAD","ACAD-132",2017,20170622,3,3.32183616248895,NA,"Unknown Conifer",2,NA
"ACAD","ACAD-132",2017,20170622,3,7.57166676702183,NA,"Picea rubens",2,NA
"ACAD","ACAD-161",2017,20170706,3,3.69201310425596,NA,"Unknown Conifer",3,NA
"SAGA","SAGA-019",2008,20080618,1,4.6056840446457,NA,"Betula lenta",3,NA
"SAGA","SAGA-019",2008,20080618,1,7.19638131975891,NA,"Unknown Tree - 01",2,NA
"MORR","MORR-008",2011,20110523,2,6.46517977094538,NA,"Unknown Hardwood",3,NA
"ACAD","ACAD-074",2011,20110620,2,10.7835194434105,NA,"Picea rubens",2,NA
"ACAD","ACAD-074",2011,20110620,2,10.8559410390061,NA,"Picea rubens",3,NA
"ACAD","ACAD-074",2011,20110620,2,7.18601878777875,NA,"Unknown Conifer",4,NA
"WEFA","WEFA-006",2017,20170612,3,2.75874952867057,NA,"Unknown Hardwood",2,NA
"WEFA","WEFA-006",2017,20170612,3,4.67214448872678,NA,"Quercus rubra",3,NA
"WEFA","WEFA-006",2017,20170612,3,3.34514487062687,NA,"Unknown Hardwood",3,NA
"SARA","SARA-008",2018,20180531,4,9.58718353017611,NA,"Unknown Hardwood",3,NA
"SARA","SARA-009",2010,20100608,2,4.77707042633132,NA,"Pinus strobus",2,NA
"ACAD","ACAD-063",2015,20150708,3,4.08302037418727,NA,"Picea rubens",3,NA
"ACAD","ACAD-063",2015,20150708,3,3.62573092820553,NA,"Picea rubens",1,NA
"MIMA","MIMA-013",2012,20120621,2,17.8749766018863,NA,"Fraxinus pennsylvanica",2,NA
"MIMA","MIMA-013",2012,20120621,2,16.9128479112811,NA,"Unknown Hardwood",3,NA
"MIMA","MIMA-013",2012,20120621,2,3.32621633037791,NA,"Quercus velutina",1,NA
"MIMA","MIMA-013",2012,20120621,2,11.672322223645,NA,"Unknown Hardwood",4,NA
"MORR","MORR-006",2019,20190520,4,5.15948382684819,NA,"Unknown Hardwood",3,NA
