Latin_Name,NCRN_Common,Common,Family,Genus,Species,TSN,Favorite,Woody,Herbaceous,Targeted_Herb,Tree,Shrub,Vine,Exotic
Myosotis stricta,,"strict forget me not, strict forget-me-not",Boraginaceae,Myosotis,stricta,503897,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Myosotis verna,spring forget-me-not,"spring forget me not, spring forget-me-not",Boraginaceae,Myosotis,verna,31699,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Myosoton aquaticum,giantchickweed,giantchickweed,Caryophyllaceae,Myosoton,aquaticum,20314,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Myrica aspleniifolia,,,Myricaceae,Myrica,aspleniifolia,19263,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Myriophyllum aquaticum,parrot feather watermilfoil,"brazilian watermilfoil, parrot feather, parrot feather watermilfoil, parrot's-feather, parrotfeather",Haloragaceae,Myriophyllum,aquaticum,503904,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Myriophyllum brasiliense,,,Haloragaceae,Myriophyllum,brasiliense,27035,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Myriophyllum exalbescens,,,Haloragaceae,Myriophyllum,exalbescens,27036,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Myriophyllum sibiricum,,"American watermilfoil, Siberian water-milfoil, milfoil, shortspike watermilfoil",Haloragaceae,Myriophyllum,sibiricum,503906,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Myriophyllum spicatum,Eurasian watermilfoil,"Eurasian water-milfoil, Eurasian watermilfoil, spike watermilfoil, spiked water milfoil",Haloragaceae,Myriophyllum,spicatum,27039,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Najas flexilis,nodding waternymph,"nodding waternymph, slender niad, wavy waternymph",Najadaceae,Najas,flexilis,38996,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
