"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Transect_Azimuth","TSN","Decay_Class","Diameter","Hollow","CWD_Notes","Latin_Name"
"ANTI-0052","ANTI","ANTI","na",2.00,1,"Park",2010,20100819,"360",504714,"3",77.00,0,,"Quercus muehlenbergii"
"ANTI-0052","ANTI","ANTI","na",4.00,1,"Park",2018,20180619,"120",19276,"3",15.00,1,,"Quercus spp."
"ANTI-0052","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"360",32928,"2",8.50,0,,"Fraxinus spp."
"ANTI-0052","ANTI","ANTI","na",4.00,1,"Park",2018,20180619,"120",19276,"3",23.00,1,,"Quercus spp."
"ANTI-0052","ANTI","ANTI","na",2.00,1,"Park",2010,20100819,"120",504714,"2",31.00,0,,"Quercus muehlenbergii"
"ANTI-0052","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"120",19276,"4",9.00,0,,"Quercus spp."
"ANTI-0052","ANTI","ANTI","na",4.00,1,"Park",2018,20180619,"360",19276,"3",66.00,1,,"Quercus spp."
"ANTI-0052","ANTI","ANTI","na",2.00,1,"Park",2010,20100819,"240",19049,"3",33.00,0,,"Ulmus americana"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",19040,"3",13.00,0,,"Celtis occidentalis"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",999999,"2",13.00,0,,"Unknown"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",28749,"2",11.00,0,,"Acer negundo"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19408,"4",8.50,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"120",28749,"2",12.00,0,,"Acer negundo"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",19040,"2",23.00,0,,"Celtis occidentalis"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",19040,"3",20.00,0,,"Celtis occidentalis"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"360",28827,"3",8.00,0,,"Ailanthus altissima"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",19408,"2",9.50,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",19040,"2",26.00,0,,"Celtis occidentalis"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19408,"3",8.00,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19276,"4",9.00,0,,"Quercus spp."
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",19040,"3",19.50,0,,"Celtis occidentalis"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",999999,"4",19.00,0,,"Unknown"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",504804,"2",38.00,0,,"Robinia pseudoacacia"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",999999,"4",18.00,0,,"Unknown"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19408,"3",20.00,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19408,"3",10.00,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19408,"3",9.00,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",19408,"2",16.00,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"120",28749,"4",10.50,0,,"Acer negundo"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",19408,"2",21.00,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"360",28827,"2",9.00,0,,"Ailanthus altissima"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19408,"4",15.00,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"360",28827,"3",20.00,0,,"Ailanthus altissima"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19408,"4",8.50,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19408,"3",21.00,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",19408,"3",14.00,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",19408,"2",27.00,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"360",999999,"3",9.00,0,,"Unknown"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",28749,"2",17.00,0,,"Acer negundo"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",28749,"2",11.50,0,,"Acer negundo"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",504804,"3",31.00,0,,"Robinia pseudoacacia"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19408,"4",21.00,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19276,"4",18.00,0,,"Quercus spp."
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",19408,"3",8.50,0,,"Quercus rubra"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240",28749,"4",19.50,0,,"Acer negundo"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240",19040,"3",16.00,0,,"Celtis occidentalis"
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,20110707,"360",999999,"3",17.00,0,,"Unknown"
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,20110707,"120",504804,"3",24.00,0,,"Robinia pseudoacacia"
"ANTI-0092","ANTI","ANTI","na",3.00,2,"Region",2015,20150625,"120",504804,"3",15.00,0,,"Robinia pseudoacacia"
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,20110707,"360",504804,"3",13.00,0,,"Robinia pseudoacacia"
"ANTI-0092","ANTI","ANTI","na",4.00,2,"Region",2019,20190603,"120",504804,"3",16.00,0,,"Robinia pseudoacacia"
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,20110707,"120",32931,"3",8.00,0,,"Fraxinus americana"
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,20110707,"360",999999,"3",34.00,1,,"Unknown"
"ANTI-0092","ANTI","ANTI","na",4.00,2,"Region",2019,20190603,"120",501306,"3",19.00,0,,"Carya alba"
"ANTI-0092","ANTI","ANTI","na",1.00,2,"Region",2007,20070706,"360",999999,"1",32.50,0,,"Unknown"
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,20110707,"240",999999,"3",8.00,0,,"Unknown"
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,20110707,"120",999999,"3",15.00,0,,"Unknown"
"ANTI-0092","ANTI","ANTI","na",4.00,2,"Region",2019,20190603,"120",501306,"3",20.00,0,,"Carya alba"
"ANTI-0092","ANTI","ANTI","na",4.00,2,"Region",2019,20190603,"360",999999,"2",10.00,0,,"Unknown"
"ANTI-0092","ANTI","ANTI","na",1.00,2,"Region",2007,20070706,"360",999999,"2",12.50,0,,"Unknown"
"ANTI-0092","ANTI","ANTI","na",3.00,2,"Region",2015,20150625,"360",999999,"4",14.00,0,,"Unknown"
"ANTI-0092","ANTI","ANTI","na",1.00,2,"Region",2007,20070706,"360",999999,"2",16.00,0,,"Unknown"
"ANTI-0092","ANTI","ANTI","na",1.00,2,"Region",2007,20070706,"360",999999,"1",9.00,0,,"Unknown"
"ANTI-0092","ANTI","ANTI","na",3.00,2,"Region",2015,20150625,"120",504804,"4",12.00,0,,"Robinia pseudoacacia"
"ANTI-0092","ANTI","ANTI","na",4.00,2,"Region",2019,20190603,"120",504804,"3",9.00,0,,"Robinia pseudoacacia"
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,20110707,"120",18086,"2",12.50,0,,"Liriodendron tulipifera"
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,20110707,"120",999999,"3",9.00,0,,"Unknown"
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,20110707,"120",504804,"3",11.50,0,,"Robinia pseudoacacia"
"ANTI-0092","ANTI","ANTI","na",3.00,2,"Region",2015,20150625,"360",32931,"4",19.00,0,,"Fraxinus americana"
"ANTI-0190","ANTI","ANTI","na",2.00,2,"Region",2011,20110922,"360",18048,"2",14.00,0,,"Juniperus virginiana"
"ANTI-0190","ANTI","ANTI","na",4.00,2,"Region",2019,20190529,"120",19066,"3",7.50,0,,"Morus alba"
"ANTI-0190","ANTI","ANTI","na",4.00,2,"Region",2019,20190529,"240",19066,"3",7.50,0,,"Morus alba"
"ANTI-0190","ANTI","ANTI","na",1.00,2,"Region",2007,20070716,"360",999999,"2",12.00,0,,"Unknown"
"ANTI-0190","ANTI","ANTI","na",4.00,2,"Region",2019,20190529,"360",18048,"3",17.00,0,,"Juniperus virginiana"
"ANTI-0190","ANTI","ANTI","na",4.00,2,"Region",2019,20190529,"360",19102,"3",9.00,0,,"Maclura pomifera"
"ANTI-0190","ANTI","ANTI","na",1.00,2,"Region",2007,20070716,"120",999999,"4",7.50,0,,"Unknown"
"ANTI-0190","ANTI","ANTI","na",4.00,2,"Region",2019,20190529,"360",999999,"3",8.00,0,,"Unknown"
"ANTI-0190","ANTI","ANTI","na",2.00,2,"Region",2011,20110922,"120",24764,"3",7.50,0,,"Prunus serotina"
"ANTI-0190","ANTI","ANTI","na",2.00,2,"Region",2011,20110922,"240",999999,"3",13.50,0,,"Unknown"
"ANTI-0190","ANTI","ANTI","na",4.00,2,"Region",2019,20190529,"240",18048,"3",9.50,0,,"Juniperus virginiana"
"ANTI-0190","ANTI","ANTI","na",3.00,2,"Region",2015,20150701,"360",18048,"2",17.00,0,"still attached to parent tree, but dead","Juniperus virginiana"
"ANTI-0190","ANTI","ANTI","na",2.00,2,"Region",2011,20110922,"360",18048,"2",9.50,0,,"Juniperus virginiana"
"ANTI-0190","ANTI","ANTI","na",2.00,2,"Region",2011,20110922,"360",504804,"3",10.00,0,,"Robinia pseudoacacia"
"ANTI-0190","ANTI","ANTI","na",1.00,2,"Region",2007,20070716,"240",999999,"4",7.50,0,,"Unknown"
"ANTI-0190","ANTI","ANTI","na",4.00,2,"Region",2019,20190529,"240",19066,"3",11.50,0,,"Morus alba"
"ANTI-0190","ANTI","ANTI","na",4.00,2,"Region",2019,20190529,"360",19066,"3",8.00,0,,"Morus alba"
"ANTI-0190","ANTI","ANTI","na",1.00,2,"Region",2007,20070716,"240",999999,"3",15.00,0,,"Unknown"
"ANTI-0194","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"360",999999,"2",17.00,0,,"Unknown"
"ANTI-0194","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"360",28749,"2",8.00,0,,"Acer negundo"
"ANTI-0194","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"360",999999,"4",13.00,0,,"Unknown"
"ANTI-0200","ANTI","ANTI","na",3.00,4,"Park",2017,20170616,"240",504804,"2",18.00,0,,"Robinia pseudoacacia"
"ANTI-0200","ANTI","ANTI","na",2.00,4,"Park",2013,20130730,"360",504804,"3",7.50,0,,"Robinia pseudoacacia"
"ANTI-0200","ANTI","ANTI","na",2.00,4,"Park",2013,20130730,"240",504804,"3",7.50,0,,"Robinia pseudoacacia"
"ANTI-0200","ANTI","ANTI","na",2.00,4,"Park",2013,20130730,"240",504804,"3",8.00,0,,"Robinia pseudoacacia"
"ANTI-0200","ANTI","ANTI","na",2.00,4,"Park",2013,20130730,"120",28827,"2",8.00,0,,"Ailanthus altissima"
"ANTI-0200","ANTI","ANTI","na",2.00,4,"Park",2013,20130730,"120",504804,"3",10.50,0,,"Robinia pseudoacacia"
"ANTI-0200","ANTI","ANTI","na",3.00,4,"Park",2017,20170616,"120",999999,"3",11.00,0,,"Unknown"
"ANTI-0200","ANTI","ANTI","na",3.00,4,"Park",2017,20170616,"360",28827,"2",9.00,0,,"Ailanthus altissima"
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,20140716,"240",24764,"2",10.50,0,,"Prunus serotina"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"240",19049,"2",10.50,0,,"Ulmus americana"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",32931,"2",10.00,0,,"Fraxinus americana"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",19254,"3",12.50,0,,"Juglans nigra"
