Plot_Name,Event_Date,Event_Date_Txt,Event_Year,Unit_Code,Unit_Group,Subunit_Code,Protocol_Name,Panel,Frame,Cycle,Event_ID,numSeedPlots
CATO-0092,9/27/2012 0:00,20120927,2012,CATO,CATO,na,2.0.1,3,Region,2,{24928CBE-49DA-40E7-96E6-2FAF4AEEB0E2},12
CATO-0092,9/22/2008 10:41,20080922,2008,CATO,CATO,na,1,3,Region,1,{9E997EA6-7067-403D-ACFD-7482DDBB021A},12
CATO-0094,8/2/2019 0:00,20190802,2019,CATO,CATO,na,,2,Region,4,20190802095108-281143724.918365,12
CATO-0094,8/17/2015 0:00,20150817,2015,CATO,CATO,na,2.2,2,Region,3,{4A305561-88C2-4256-909F-E8D23E11958B},12
CATO-0094,8/1/2011 12:46,20110801,2011,CATO,CATO,na,2.0.1,2,Region,2,{52B2E020-B87F-4A37-B6B9-1BDE63908126},12
CATO-0094,8/29/2007 10:32,20070829,2007,CATO,CATO,na,1,2,Region,1,{DFE62651-4CBC-43BF-9E2A-1DDAC273C500},12
CATO-0098,10/4/2012 0:00,20121004,2012,CATO,CATO,na,2.0.1,3,Region,2,{21D0FD22-30F1-4B3E-A63D-A4FEAB1918C3},12
CATO-0098,9/25/2008 11:36,20080925,2008,CATO,CATO,na,1,3,Region,1,{6EDA7E6F-8FF4-44A3-A4B7-9D60A04A4026},12
CATO-0098,8/3/2016 0:00,20160803,2016,CATO,CATO,na,2.2,3,Region,3,{52FB1133-FB5E-4601-A906-77A0D3AA4D79},12
CATO-0100,9/28/2009 10:03,20090928,2009,CATO,CATO,na,2,4,Region,1,{9C146A12-3110-444A-A797-D926A21A7929},12
CATO-0100,9/5/2013 0:00,20130905,2013,CATO,CATO,na,2.0.1,4,Region,2,{8902B545-DBB0-4AE1-BB9D-7148B3B3FCD1},12
