Plot_Name,Unit_Code,Unit_Group,Subunit_Code,Panel,Frame,GRTS_Order,Location_Status,Location_Notes,Event_Count,Event_Earliest,Event_Latest,UTM_ZONE_NAD83_X,UTM_ZONE_NAD83_Y,Latitude,Longitude,UTM_Zone,Slope,Aspect
BLUE-043,BLUE,BLUE,NA,1,ERMN,7,Active,NA,4,20070817,20190815,503222,4160181,37.58868509,-80.96350474,17,28,130
BLUE-044,BLUE,BLUE,NA,3,ERMN,31,Active,NA,3,20090817,20170801,503479,4160174,37.58862106,-80.96059376,17,0,Flat
BLUE-047,BLUE,BLUE,NA,2,ERMN,16,Active,NA,3,20080808,20160810,504236,4160181,37.58868098,-80.95201927,17,25,340
BLUE-049,BLUE,BLUE,NA,2,ERMN,21,Active,NA,3,20080808,20160810,504731,4160184,37.58870561,-80.94641244,17,19,310
BLUE-061,BLUE,BLUE,NA,1,ERMN,13,Active,NA,4,20070817,20190813,502206,4159195,37.57980074,-80.97501583,17,22,82
BLUE-063,BLUE,BLUE,NA,2,ERMN,23,Active,NA,3,20080806,20160802,502728,4159171,37.57958302,-80.96910399,17,48,290
BLUE-071,BLUE,BLUE,NA,4,ERMN,43,Active,NA,3,20100816,20180815,502719,4158686,37.57521147,-80.96920772,17,59,244
BLUE-072,BLUE,BLUE,NA,1,ERMN,3,Active,NA,4,20070817,20190813,501107,4158428,37.57288933,-80.98746377,17,15,120
BLUE-074,BLUE,BLUE,NA,4,ERMN,33,Active,NA,3,20100720,20180723,502103,4158424,37.57285154,-80.97618458,17,2,333
BLUE-079,BLUE,BLUE,NA,4,ERMN,8,Active,NA,1,20180814,20180814,502227,4158174,37.57064293,-80.97481506,17,36,313
BLUE-083,BLUE,BLUE,NA,4,ERMN,28,Active,NA,3,20100720,20180814,502351,4157939,37.56847936,-80.97337766,17,47,298
BLUE-088,BLUE,BLUE,NA,4,ERMN,37,Retired,NA,2,20100720,20140724,502226,4157685,37.56619023,-80.97479391,17,20,250
BLUE-089,BLUE,BLUE,NA,2,ERMN,18,Active,NA,3,20080807,20160803,499854,4157406,37.56367812,-81.00165317,17,25,111
BLUE-095,BLUE,BLUE,NA,1,ERMN,1,Active,NA,4,20070816,20190814,500717,4157182,37.56165881,-80.99188155,17,37,347
BLUE-099,BLUE,BLUE,NA,1,ERMN,9,Active,NA,4,20070816,20190814,500101,4156445,37.55501608,-80.9988565,17,38,324
BLUE-104,BLUE,BLUE,NA,3,ERMN,24,Active,NA,3,20090729,20170802,500698,4156165,37.55249202,-80.99209765,17,60,240
BLUE-109,BLUE,BLUE,NA,3,ERMN,29,Active,NA,3,20090729,20170802,500352,4155941,37.55047317,-80.99601497,17,21,28
BLUE-110,BLUE,BLUE,NA,1,ERMN,5,Active,NA,4,20070818,20190812,499230,4155672,37.54804826,-81.00871697,17,22,68
BLUE-115,BLUE,BLUE,NA,2,ERMN,14,Active,NA,3,20080807,20160809,500674,4155647,37.547823,-80.99236984,17,4,Flat
BLUE-120,BLUE,BLUE,NA,4,ERMN,34,Active,NA,3,20100721,20180726,500103,4155428,37.54584926,-80.998834,17,44,252
BLUE-126,BLUE,BLUE,NA,3,ERMN,25,Active,NA,3,20090730,20170731,499601,4154932,37.54137843,-81.00451658,17,15,315
BLUE-134,BLUE,BLUE,NA,1,ERMN,10,Active,NA,4,20070818,20190812,499088,4154433,37.53688028,-81.01032298,17,0,Flat
BLUE-136,BLUE,BLUE,NA,3,ERMN,30,Active,NA,3,20090730,20170731,498969,4154175,37.53455464,-81.01166959,17,60,30
BLUE-137,BLUE,BLUE,NA,2,ERMN,15,Active,NA,3,20080805,20160801,498342,4153928,37.53232736,-81.01876586,17,39,65
BLUE-141,BLUE,BLUE,NA,4,ERMN,40,Active,NA,3,20100719,20180724,498971,4153675,37.53004783,-81.01164625,17,25,160
BLUE-142,BLUE,BLUE,NA,3,ERMN,20,Active,NA,3,20090727,20170822,498333,4153431,37.52784758,-81.01886659,17,16,118
BLUE-147,BLUE,BLUE,NA,4,ERMN,35,Active,NA,3,20100719,20180724,499231,4153185,37.52563141,-81.00870305,17,7,335
BLUE-154,BLUE,BLUE,NA,2,ERMN,19,Active,NA,3,20080805,20160809,498725,4152678,37.52106094,-81.01442875,17,27,264
DEWA-001,DEWA,DEWA,NA,4,ERMN,84,Active,NA,3,20100609,20180618,519540,4575748,41.33297667,-74.76648271,18,1,Flat
DEWA-004,DEWA,DEWA,NA,3,ERMN,80,Active,NA,3,20090616,20170705,515806,4574240,41.31947497,-74.81114571,18,32,343
DEWA-006,DEWA,DEWA,NA,2,ERMN,35,Active,NA,3,20080623,20160613,518795,4574240,41.31941084,-74.77543259,18,12,234
DEWA-008,DEWA,DEWA,NA,2,ERMN,30,Active,NA,3,20080623,20160622,515422,4573487,41.31269961,-74.81575292,18,15,300
DEWA-019,DEWA,DEWA,NA,4,ERMN,96,Active,NA,3,20100607,20180618,516926,4571987,41.29915789,-74.79782643,18,11,10
DEWA-022,DEWA,DEWA,NA,4,ERMN,99,Active,NA,3,20100614,20180613,513563,4571232,41.29242059,-74.83801263,18,18,320
DEWA-025,DEWA,DEWA,NA,2,ERMN,52,Active,NA,3,20080616,20160609,516553,4571227,41.29231976,-74.8023024,18,19,95
DEWA-026,DEWA,DEWA,NA,2,ERMN,28,Active,NA,3,20080623,20160613,517301,4571233,41.29235812,-74.79336869,18,1,Flat
DEWA-027,DEWA,DEWA,NA,3,ERMN,68,Active,NA,3,20090617,20170615,511673,4570485,41.28572134,-74.86059978,18,12,91
DEWA-029,DEWA,DEWA,NA,1,ERMN,12,Active,NA,4,20070705,20190617,513174,4570476,41.28561717,-74.84267493,18,15,340
DEWA-034,DEWA,DEWA,NA,1,ERMN,21,Active,NA,4,20070723,20190627,512058,4569744,41.27904093,-74.85601675,18,12,36
DEWA-037,DEWA,DEWA,NA,2,ERMN,43,Active,NA,3,20080701,20160607,515050,4569732,41.27888261,-74.82029006,18,10,300
DEWA-045,DEWA,DEWA,NA,3,ERMN,70,Active,NA,3,20090617,20170618,510552,4568234,41.26546025,-74.87402584,18,16,118
DEWA-048,DEWA,DEWA,NA,2,ERMN,49,Active,NA,3,20080618,20160609,512800,4568233,41.26541875,-74.84718838,18,16,113
DEWA-054,DEWA,DEWA,NA,1,ERMN,19,Active,NA,4,20070705,20190620,511660,4567474,41.25859909,-74.86081264,18,16,273
DEWA-055,DEWA,DEWA,NA,2,ERMN,47,Active,NA,3,20080618,20160620,512390,4567498,41.25880441,-74.85209805,18,62,120
DEWA-058,DEWA,DEWA,NA,4,ERMN,87,Active,NA,3,20100607,20180611,515407,4567510,41.25886061,-74.81608337,18,5,333
DEWA-063,DEWA,DEWA,NA,3,ERMN,77,Active,NA,3,20090610,20170613,513581,4566738,41.25193934,-74.83789782,18,17,340
DEWA-074,DEWA,DEWA,NA,4,ERMN,106,Active,NA,3,20100617,20180620,511306,4565232,41.23840858,-74.86507994,18,1,Flat
DEWA-077,DEWA,DEWA,NA,3,ERMN,61,Active,NA,3,20090609,20170613,514301,4565231,41.23835215,-74.82933929,18,14,331
DEWA-084,DEWA,DEWA,NA,1,ERMN,9,Active,NA,4,20070703,20190619,513180,4564498,41.23176845,-74.8427325,18,0,Flat
DEWA-087,DEWA,DEWA,NA,3,ERMN,63,Active,NA,3,20090609,20170620,510536,4563738,41.22496125,-74.87429449,18,15,132
DEWA-092,DEWA,DEWA,NA,1,ERMN,14,Active,NA,4,20070709,20190620,510180,4562985,41.21818288,-74.87855448,18,17,270
DEWA-096,DEWA,DEWA,NA,1,ERMN,5,Active,NA,4,20070704,20190619,513177,4562990,41.21818466,-74.84280083,18,10,0
DEWA-101,DEWA,DEWA,NA,1,ERMN,23,Active,NA,4,20070718,20190701,508677,4561486,41.20469756,-74.89650624,18,6,180
DEWA-111,DEWA,DEWA,NA,4,ERMN,101,Active,NA,3,20100624,20180627,509414,4559983,41.19115043,-74.88773893,18,25,7
DEWA-112,DEWA,DEWA,NA,2,ERMN,42,Active,NA,3,20080626,20160609,510927,4559994,41.19123052,-74.86969639,18,8,250
DEWA-113,DEWA,DEWA,NA,1,ERMN,1,Active,NA,4,20070702,20190618,511673,4559986,41.19114805,-74.86080057,18,11,300
DEWA-115,DEWA,DEWA,NA,1,ERMN,2,Active,NA,4,20070703,20190702,507541,4559246,41.18453119,-74.91008333,18,11,120
DEWA-116,DEWA,DEWA,NA,1,ERMN,7,Active,NA,4,20070703,20190702,508297,4559238,41.18445174,-74.90106913,18,10,240
DEWA-117,DEWA,DEWA,NA,3,ERMN,56,Active,NA,3,20090609,20170612,510544,4559240,41.18444362,-74.87427661,18,34,290
DEWA-118,DEWA,DEWA,NA,4,ERMN,94,Active,NA,3,20100614,20180614,511304,4559239,41.18442437,-74.86521465,18,14,142
DEWA-121,DEWA,DEWA,NA,2,ERMN,33,Active,NA,3,20080618,20160628,507175,4558489,41.1777155,-74.91445628,18,15,106
DEWA-133,DEWA,DEWA,NA,1,ERMN,3,Active,NA,4,20070711,20190624,511302,4557731,41.17084043,-74.86526634,18,0,Flat
DEWA-137,DEWA,DEWA,NA,1,ERMN,16,Active,NA,4,20070711,20190618,509427,4556999,41.16427058,-74.88762985,18,22,300
DEWA-139,DEWA,DEWA,NA,3,ERMN,66,Active,NA,3,20090625,20170621,510928,4556980,41.16408058,-74.86973826,18,10,Flat
DEWA-140,DEWA,DEWA,NA,1,ERMN,26,Active,NA,4,20070718,20190703,504550,4556230,41.15738548,-74.94576952,18,24,222
DEWA-150,DEWA,DEWA,NA,3,ERMN,73,Active,NA,3,20090608,20170615,507171,4555487,41.15067361,-74.9145391,18,3,Flat
DEWA-155,DEWA,DEWA,NA,3,ERMN,59,Active,NA,3,20090615,20170704,503063,4554740,41.14397054,-74.9635002,18,18,158
DEWA-159,DEWA,DEWA,NA,3,ERMN,75,Active,NA,3,20090706,20170704,507561,4554704,41.1436168,-74.90990091,18,1,Flat
DEWA-162,DEWA,DEWA,NA,4,ERMN,103,Active,NA,3,20100623,20180626,510552,4554747,41.14397076,-74.87425861,18,11,Flat
DEWA-167,DEWA,DEWA,NA,2,ERMN,34,Active,NA,3,20080624,20160608,504174,4553981,41.1371285,-74.95026629,18,32,160
DEWA-174,DEWA,DEWA,NA,2,ERMN,31,Active,NA,3,20080702,20160621,510171,4553987,41.13712954,-74.87881134,18,29,324
DEWA-176,DEWA,DEWA,NA,2,ERMN,44,Active,NA,3,20080619,20160615,511681,4553989,41.13712723,-74.86081952,18,7,130
DEWA-178,DEWA,DEWA,NA,3,ERMN,71,Active,NA,3,20090615,20170703,503060,4553267,41.13070174,-74.96354329,18,17,70
DEWA-184,DEWA,DEWA,NA,3,ERMN,78,Active,NA,3,20090706,20170628,509047,4553235,41.13036883,-74.89221499,18,8,204
DEWA-185,DEWA,DEWA,NA,2,ERMN,48,Active,NA,3,20080702,20160621,509784,4553244,41.13044135,-74.88343433,18,30,300
DEWA-188,DEWA,DEWA,NA,1,ERMN,6,Active,NA,4,20070704,20190624,501928,4552484,41.12365192,-74.97703235,18,3,180
DEWA-189,DEWA,DEWA,NA,2,ERMN,54,Active,NA,3,20080624,20160608,502673,4552479,41.12360477,-74.96815743,18,8,135
DEWA-191,DEWA,DEWA,NA,4,ERMN,81,Active,NA,3,20100609,20180613,504171,4552481,41.12361647,-74.95031224,18,9,Flat
DEWA-192,DEWA,DEWA,NA,1,ERMN,13,Active,NA,4,20070716,20190626,505677,4552473,41.12353527,-74.93237183,18,3,233
DEWA-193,DEWA,DEWA,NA,4,ERMN,107,Active,NA,3,20100614,20180614,506438,4552481,41.12360166,-74.92330622,18,11,135
DEWA-197,DEWA,DEWA,NA,4,ERMN,102,Active,NA,3,20100615,20180625,509409,4552485,41.12360869,-74.88791367,18,7,311
DEWA-209,DEWA,DEWA,NA,1,ERMN,15,Active,NA,4,20070712,20190708,509059,4551739,41.11689268,-74.8920941,18,16,294
DEWA-210,DEWA,DEWA,NA,3,ERMN,65,Active,NA,3,20090616,20170628,509789,4551745,41.11693826,-74.88339866,18,9,125
DEWA-212,DEWA,DEWA,NA,2,ERMN,40,Active,NA,3,20080624,20160610,499681,4550977,41.11007901,-75.00379936,18,9,260
DEWA-214,DEWA,DEWA,NA,4,ERMN,89,Active,NA,3,20100624,20180622,501171,4550981,41.11011426,-74.98605312,18,39,329
DEWA-217,DEWA,DEWA,NA,2,ERMN,53,Active,NA,3,20080620,20160610,503431,4550983,41.11012587,-74.95913598,18,1,Flat
DEWA-222,DEWA,DEWA,NA,2,ERMN,46,Active,NA,3,20080617,20160620,507177,4550985,41.11011943,-74.91452025,18,6,283
DEWA-227,DEWA,DEWA,NA,4,ERMN,83,Active,NA,3,20100617,20180622,500815,4550240,41.10343971,-74.99029414,18,11,130
DEWA-228,DEWA,DEWA,NA,1,ERMN,24,Active,NA,4,20070716,20190709,502303,4550241,41.10344587,-74.97257351,18,27,330
DEWA-231,DEWA,DEWA,NA,2,ERMN,29,Active,NA,3,20080619,20160615,504546,4550223,41.10327427,-74.9458617,18,50,300
DEWA-233,DEWA,DEWA,NA,1,ERMN,10,Active,NA,4,20070712,20190708,506057,4550238,41.10339953,-74.92786707,18,26,141
DEWA-244,DEWA,DEWA,NA,4,ERMN,97,Active,NA,3,20100616,20180615,504167,4549483,41.09661032,-74.95038022,18,35,302
DEWA-253,DEWA,DEWA,NA,3,ERMN,62,Active,NA,3,20090610,20170614,500054,4548728,41.08981989,-74.99935705,18,0,Flat
DEWA-254,DEWA,DEWA,NA,2,ERMN,38,Active,NA,3,20080620,20160627,500797,4548718,41.08972942,-74.99051048,18,15,Flat
