ParkCode,ShortName,LongName,Network,TPlotNum,TPlotSize,SapPlotNum,SapPlotSize,SeedPlotNum,SeedPlotSize,ShrubPlotNum,ShrubPlotSize,ShSeedPlotNum,ShSeedPlotSize,VPlotNum,VPlotSize,HPlotNum,HPlotSize
ALPO,Allegheny Portage,Allegheny Portage Railroad National Historic Site,ERMN,1,706.86,4,12.57,4,12.57,4,12.57,NA,NA,NA,NA,12,1
BLUE,Bluestone ,Bluestone National Scenic River ,ERMN,1,706.86,4,12.57,4,12.57,4,12.57,NA,NA,NA,NA,12,1
DEWA,Delaware Water Gap ,Delaware Water Gap National Recreation Area,ERMN,1,706.86,4,12.57,4,12.57,4,12.57,NA,NA,NA,NA,12,1
FONE,Fort Necessity,Fort Necessity National Battlefield,ERMN,1,706.86,4,12.57,4,12.57,4,12.57,NA,NA,NA,NA,12,1
FRHI,Friendship Hill,Friendship Hill National Historic Site,ERMN,1,706.86,4,12.57,4,12.57,4,12.57,NA,NA,NA,NA,12,1
GARI,Gauley River,Gauley River National Recreation Area,ERMN,1,706.86,4,12.57,4,12.57,4,12.57,NA,NA,NA,NA,12,1
JOFL,Johnstown Flood,Johnstown Flood National Memorial,ERMN,1,706.86,4,12.57,4,12.57,4,12.57,NA,NA,NA,NA,12,1
NERI,New River Gorge,New River Gorge National River,ERMN,1,706.86,4,12.57,4,12.57,4,12.57,NA,NA,NA,NA,12,1
